"Supplementary Table 2. Lanternfishes species olfactory data used in analyses pertaining to ecological and behavioral factors. Migration acronyms include: DVM, diel vertical migration where species migrate towards the surface at night; PDVM, partial diel vertical migration where only part of the population migrates or has a bimodal distribution; NoDVM, the species does not migrate; IDVM, inverse diel vertical migration where species migrate towards the surface during the day. Feeding categories include: 0, predominately zooplanktivorous with a diet composition mainly containing planktonic crustaceans including amphipods, copepods, decapods, euphausiids, and ostracods; 1, predominately zooplanktivorous but diet includes additional prey types including chaetognaths, larvaceans, molluscs, and polychaete; 2, predominately zooplanktivorous but become partially piscivorous; 3, specialize on a particular prey group (e.g., only piscivorous, only feed on pteropods). Spawning categories include: 0, restricted spawners that only spawn one to two times a year; 1, extended spawners that spawn up to four to six months a year; 2, year-round spawners that spawn throughout the year.",,,,,,,,,,,,,,
Family,Subfamily,Species,Museum_ID,SL (mm),L.R.Lamellae,L.R.Length,ET,Sex,Migration,Migration Source,Feeding Guild,Feeding Source,Spawning,Spawning Source
Myctophidae,Myctophinae,Loweina_interrupta,LACM 11510-17,32,18,1.2065,12,Male,DVM,"Nafpaktitis et al., 1977",,,,
Myctophidae,Myctophinae,Loweina_rara,MCZ 151184,40,36,1.2192,10,Male,PDVM,"Gibbs and Krueger, 1987",,,,
Myctophidae,Myctophinae,Metelectrona_ventralis,LACM 11315-12,51,14,1.143,,,DVM,"Flynn and Kloser, 2012",,,,
Myctophidae,Myctophinae,Myctophum_aurolaternatum,KU 36163,117,19,1.44,30,Male,DVM,"Wang et al., 2019",0,"Van Noord, 2013",,
Myctophidae,Myctophinae,Myctophum_nitidulum,MCZ 106139,74,27,1.397,17,Male,DVM,"Wang et al., 2019; Olivar et al., 2017",2,"Olivar et al., 2019",,
Myctophidae,Myctophinae,Myctophum_punctatum,AMNH 75750,52,18,1.016,,Female,DVM,"Di Carlo et al., 1982",2,"Olivar et al., 2019",,
Myctophidae,Notolychninae,Notolychnus_valdiviae,AMNH 270222,20,5,0.381,,,PDVM,"Olivar et al., 2017",0,"Clarke, 1980",1,"Gartner, 1993"
Myctophidae,Gymnoscopelinae,Notoscopelus_caudispinosus,MCZ 104104,62,20.5,1.0541,25,Male,DVM,"Gibbs and Krueger, 1987",,,,
Myctophidae,Gymnoscopelinae,Notoscopelus_elongatus,MCZ 104150,73,26,1.2192,,,PDVM,"Olivar et al., 2012",0,"Bernal et al., 2013b",,
Myctophidae,Gymnoscopelinae,Notoscopelus_resplendens,AMNH 29529,54,18.5,0.9398,,Male,DVM,"Wang et al., 2019",0,"Pakhomov et al., 1996",1,"Sarmiento-Lezcano et al., 2020"
Myctophidae,Lampanyctinae,Parvilux_ingens,MCZ 45102,121,16,2.0447,35,,DVM,"Paxton, 1967",0,"Collard, 1970",,
Myctophidae,Myctophinae,Protomyctophum_arcticum,AMNH 215743,40,10,0.762,,Female,PDVM,"Hudson et al., 2014",0,"Hudson et al., 2014",1,"Kawaguchi and Mauchline, 1982"
Myctophidae,Myctophinae,Protomyctophum_thompsoni,CAS-ICH 010051,18,7,0.3556,,,NoDVM,"Watanabe et al., 1999",0,"Sassa and Kawaguchi, 2005",,
Myctophidae,Gymnoscopelinae,Scopelopsis_multipunctatus,LACM 31322-5,56,20,0.9652,,Male,DVM,"Wisner, 1976",0,"Pakhomov et al., 1996",0,"Legand and Rivaton, 1967"
Myctophidae,Lampanyctinae,Stenobrachius_leucopsarus,KU 28043,72,22,1.1,35,Male,PDVM,"Paxton, 1967; Pearcy et al., 1979",2,"Tyler and Pearcy, 1975",1,"Childress et al., 1980"
Myctophidae,Myctophinae,Symbolophorus_californiensis,AMNH 277136,45,15.5,1.0033,,Male,DVM,"Paxton, 1967",0,"Collard, 1970; Takagi et al., 2009",0,"Sassa and Takasuka, 2019"
Myctophidae,Myctophinae,Symbolophorus_evermanni,MCZ 103597,89,21.5,1.5621,,Female,DVM,"Wang et al., 2019",0,"Van Noord, 2013",0,"Sassa and Hirota, 2013"
Myctophidae,Myctophinae,Symbolophorus_rufinus,MCZ 103536,70,23,1.27,,Male,PDVM,"Nafpaktitis et al., 1977",,,,
Myctophidae,Lampanyctinae,Taaningichthys_bathyphilus,MCZ 108910,42,8,0.5715,,,NoDVM,"Hulley, 1984; Olivar et al., 2017",,,,
Myctophidae,Myctophinae,Tarletonbeania_crenularis,USNM 196584; Now USNM 439010,64,23,1.4,37,Female,PDVM,"Paxton, 1967; Willis and Pearcy, 1980",0,"Tyler and Pearcy, 1975",2,"Bystydzieńska et al., 2010"
Myctophidae,Lampanyctinae,Triphoturus_mexicanus,KU 42028,60,14.5,1.1557,30,Female,PDVM,"Paxton, 1967",1,"Oliva et al., 2006",,
Myctophidae,Lampanyctinae,Triphoturus_nigriscens,MCZ 151585,33,10,0.635,15,,PDVM,"Nafpaktitis et al., 1977",,,,
